product_id,sku,category,marketplace,price,cost,rating,launch_date
MCH-P-000001,SKU-A385151E,audio_headphones,meesho,17722.91,14187.35,2.7,2024-09-19
MCH-P-000002,SKU-C7C87603,bedding_linen,purplle,7812.27,5987.32,2.8,2024-11-07
MCH-P-000003,SKU-145EA0A3,sports_fitness,purplle,14957.13,12330.18,4.6,2025-06-28
MCH-P-000004,SKU-97670A5D,home_decor,croma,6734.14,3902.66,2.7,2026-05-05
MCH-P-000005,SKU-F8A6E004,books_media,indiamart,1931.46,1478.21,4.9,2024-08-03
MCH-P-000006,SKU-5D14A833,winterwear,snapdeal,8091.42,6250.09,3.7,2024-10-01
MCH-P-000007,SKU-F0B2AA1D,makeup_cosmetics,walmart_marketplace,700.88,518.0,4.9,2026-06-16
MCH-P-000008,SKU-480205A2,garden_outdoor,pepperfry,4987.83,3140.64,3.0,2026-05-19
MCH-P-000009,SKU-43E007D7,skincare,reliance_digital,2430.43,1408.24,3.6,2026-04-02
MCH-P-000010,SKU-ED0FBB46,kitchenware_dining,nykaa,8343.35,6216.57,4.6,2026-05-01
MCH-P-000011,SKU-017A5E71,watches_eyewear,tata_cliq,19557.06,11752.13,2.8,2024-08-23
MCH-P-000012,SKU-A75D18AF,bedding_linen,purplle,1838.49,923.98,4.2,2024-08-30
MCH-P-000013,SKU-044CAE81,skincare,urban_ladder,3925.35,2593.17,2.8,2024-11-18
MCH-P-000014,SKU-2E691B2A,personal_care,pepperfry,329.71,241.99,3.9,2025-01-01
MCH-P-000015,SKU-BC346C60,audio_headphones,meesho,25497.95,17689.27,3.3,2024-09-27
MCH-P-000016,SKU-56F417AF,personal_care,snapdeal,124.53,81.3,3.5,2024-03-22
MCH-P-000017,SKU-6B5AF7E9,industrial_scientific,etsy,23623.0,12293.55,3.2,2024-07-12
MCH-P-000018,SKU-A9BA09C6,ethnic_wear,purplle,16716.62,11617.4,4.2,2025-05-11
MCH-P-000019,SKU-DBE6E3D4,jewellery,shopsy,81439.05,45478.87,2.7,2025-08-05
MCH-P-000020,SKU-AEB9D567,mobiles_tablets,ajio,109186.55,72244.05,3.8,2024-11-08
MCH-P-000021,SKU-B90052D6,automotive_accessories,ajio,17453.26,11452.04,3.3,2026-03-14
MCH-P-000022,SKU-996071B7,bags_luggage,meesho,12716.2,7968.41,2.8,2024-04-11
MCH-P-000023,SKU-1DBB2E06,innerwear_sleepwear,pepperfry,2285.07,1702.14,4.9,2024-04-09
MCH-P-000024,SKU-BC21B39C,kids_apparel,pepperfry,3159.03,2372.15,3.2,2024-09-06
MCH-P-000025,SKU-E01B6D50,audio_headphones,1mg,36133.22,23830.64,3.3,2026-05-02
MCH-P-000026,SKU-9B847234,mens_apparel,etsy,4759.57,2674.26,4.4,2025-06-17
MCH-P-000027,SKU-A2C2C515,makeup_cosmetics,myntra,1784.59,1284.12,4.1,2024-11-06
MCH-P-000028,SKU-D3A27C23,health_wellness,flipkart,597.31,385.58,3.7,2024-09-08
MCH-P-000029,SKU-E3BD8B09,computer_accessories,ajio,2338.1,1253.67,2.9,2025-10-11
MCH-P-000030,SKU-B4BBEFB1,health_wellness,shopsy,5558.13,3909.43,4.0,2025-07-01
MCH-P-000031,SKU-9694E514,ethnic_wear,pepperfry,23984.66,16041.09,2.7,2026-07-05
MCH-P-000032,SKU-D23E58A3,toys_games,own_shopify_store,3969.75,2666.67,3.9,2025-07-06
MCH-P-000033,SKU-7CC5BE5B,fragrances,croma,2281.68,1405.63,3.6,2025-06-08
MCH-P-000034,SKU-7F195B2E,haircare,walmart_marketplace,161.7,127.61,2.9,2026-07-16
MCH-P-000035,SKU-C35AF263,footwear,myntra,1658.59,1219.53,4.1,2025-03-29
MCH-P-000036,SKU-B11759CF,ethnic_wear,meesho,18311.1,14081.72,4.8,2025-10-19
MCH-P-000037,SKU-348253E3,industrial_scientific,croma,4029.07,2796.97,4.6,2026-01-05
MCH-P-000038,SKU-4F8428F1,winterwear,own_shopify_store,7369.95,4503.03,3.2,2026-01-29
MCH-P-000039,SKU-DDD1FD1C,furniture,ajio,21220.5,17562.41,2.6,2025-05-02
MCH-P-000040,SKU-106F4F53,small_kitchen_appliances,walmart_marketplace,11159.31,9455.63,4.4,2026-03-15
MCH-P-000041,SKU-76F4501B,sports_fitness,pepperfry,35759.07,24373.4,4.4,2024-06-10
MCH-P-000042,SKU-8F536472,footwear,meesho,8074.93,5093.51,4.4,2024-06-13
MCH-P-000043,SKU-66CFB61E,bags_luggage,amazon,18755.16,10959.38,4.6,2025-12-08
MCH-P-000044,SKU-3086A4CA,wearables_smartwatch,paytm_mall,10042.93,5651.6,4.7,2025-09-08
MCH-P-000045,SKU-20CAFB80,laptops_computers,nykaa,87926.06,67886.98,3.8,2026-02-04
MCH-P-000046,SKU-638DCB51,groceries_gourmet,tata_cliq,473.64,239.13,2.8,2026-02-23
MCH-P-000047,SKU-6CCEF58A,mobiles_tablets,own_shopify_store,20908.5,14159.56,4.0,2024-12-12
MCH-P-000048,SKU-2CCFAEA5,bedding_linen,1mg,1837.47,1435.88,4.3,2026-07-03
MCH-P-000049,SKU-EC96527A,sports_fitness,meesho,5124.53,4225.93,3.3,2026-04-01
MCH-P-000050,SKU-10705F05,bags_luggage,own_shopify_store,9924.59,7264.82,3.2,2025-10-25
MCH-P-000051,SKU-29AF51B0,groceries_gourmet,ajio,122.36,84.96,2.8,2024-05-11
MCH-P-000052,SKU-E2909D6E,home_decor,woocommerce_store,2233.18,1444.18,4.0,2026-07-19
MCH-P-000053,SKU-DF6D096D,computer_accessories,shopclues,12104.35,8032.25,2.5,2024-05-04
MCH-P-000054,SKU-65E6F09D,toys_games,purplle,1005.89,794.95,3.1,2025-12-19
MCH-P-000055,SKU-1B0B0659,innerwear_sleepwear,netmeds,1573.74,1264.83,3.5,2025-04-19
MCH-P-000056,SKU-60C7ED53,furniture,shopclues,30559.91,19835.18,4.7,2026-04-17
MCH-P-000057,SKU-5A0390C5,kids_apparel,woocommerce_store,1141.04,665.03,4.5,2025-06-25
MCH-P-000058,SKU-1FB52A27,garden_outdoor,paytm_mall,1712.48,896.13,2.9,2025-06-06
MCH-P-000059,SKU-B474D852,computer_accessories,walmart_marketplace,4792.26,2637.45,2.9,2024-08-06
MCH-P-000060,SKU-2DD2121F,musical_instruments,myntra,17440.13,9657.73,2.6,2025-06-23
MCH-P-000061,SKU-AB2C9338,home_improvement_tools,firstcry,3574.54,1854.06,4.2,2026-06-06
MCH-P-000062,SKU-F70996AC,health_wellness,urban_ladder,2421.81,1480.44,4.7,2024-03-20
MCH-P-000063,SKU-FF6B5CA5,toys_games,walmart_marketplace,490.32,276.31,3.1,2024-07-14
MCH-P-000064,SKU-5F060FC5,womens_apparel,flipkart,5840.53,3771.18,3.4,2025-11-21
MCH-P-000065,SKU-C3E260B3,automotive_accessories,meesho,2675.65,2118.34,4.8,2025-04-25
MCH-P-000066,SKU-A46FCC0B,cameras_accessories,walmart_marketplace,20722.61,16479.68,4.9,2024-08-27
MCH-P-000067,SKU-78214C91,footwear,paytm_mall,9441.72,6844.01,2.8,2024-08-26
MCH-P-000068,SKU-A9CFF15A,toys_games,etsy,4357.67,2963.12,3.7,2024-04-04
MCH-P-000069,SKU-2C02E9CF,toys_games,flipkart,5170.21,3067.29,3.7,2025-08-23
MCH-P-000070,SKU-CDE4C61F,large_appliances,shopsy,54691.61,31797.67,3.4,2025-10-03
MCH-P-000071,SKU-BA97B472,garden_outdoor,tata_cliq,5784.42,4280.53,4.9,2025-10-13
MCH-P-000072,SKU-7B8BD310,ethnic_wear,nykaa,22950.44,15338.21,3.8,2024-09-22
MCH-P-000073,SKU-23C30D0F,groceries_gourmet,croma,1974.79,1543.37,4.1,2024-07-16
MCH-P-000074,SKU-A66F392B,fragrances,snapdeal,2446.9,1852.82,4.2,2026-06-24
MCH-P-000075,SKU-F890B519,haircare,shopclues,482.23,344.81,4.3,2024-07-06
MCH-P-000076,SKU-E3956E6B,audio_headphones,myntra,3653.47,3023.53,4.9,2024-11-02
MCH-P-000077,SKU-1EC0BE48,small_kitchen_appliances,woocommerce_store,15044.8,11643.45,4.9,2024-08-27
MCH-P-000078,SKU-1D176374,toys_games,meesho,2138.31,1510.77,4.0,2026-06-11
MCH-P-000079,SKU-3A0D60D7,small_kitchen_appliances,pepperfry,14340.85,10043.62,3.8,2026-02-25
MCH-P-000080,SKU-70454869,skincare,urban_ladder,3842.99,2996.52,4.0,2025-04-30
MCH-P-000081,SKU-BEDBF01F,large_appliances,1mg,21410.16,11582.6,4.1,2024-05-05
MCH-P-000082,SKU-3DC2906B,audio_headphones,indiamart,16918.17,13044.12,3.3,2026-01-24
MCH-P-000083,SKU-94BEB2ED,garden_outdoor,purplle,11473.36,6823.06,3.3,2024-06-03
MCH-P-000084,SKU-4A074E00,winterwear,own_shopify_store,1838.86,1014.54,3.6,2026-05-10
MCH-P-000085,SKU-19A63FEF,garden_outdoor,own_shopify_store,10985.56,7619.01,4.5,2025-08-25
MCH-P-000086,SKU-BB146B71,automotive_accessories,woocommerce_store,12061.81,7619.76,4.3,2025-01-03
MCH-P-000087,SKU-7E20CD7A,sports_fitness,etsy,4914.57,3920.29,2.8,2024-04-18
MCH-P-000088,SKU-02F6FE9C,home_decor,amazon,8885.22,6576.25,3.6,2025-04-07
MCH-P-000089,SKU-F31A3EF2,home_improvement_tools,nykaa,5976.94,3947.72,3.3,2024-08-05
MCH-P-000090,SKU-6D354E94,watches_eyewear,meesho,45946.48,35537.44,5.0,2025-04-06
MCH-P-000091,SKU-63FCC4CC,laptops_computers,flipkart,81718.48,64795.71,5.0,2024-06-20
MCH-P-000092,SKU-275A09AB,wearables_smartwatch,meesho,40275.07,29301.88,4.7,2025-01-28
MCH-P-000093,SKU-C171428A,books_media,etsy,797.64,438.75,3.0,2026-06-29
MCH-P-000094,SKU-63BAFC9B,toys_games,amazon,7298.42,5325.61,2.5,2024-05-24
MCH-P-000095,SKU-B8C93368,small_kitchen_appliances,woocommerce_store,15344.77,11976.88,4.6,2026-06-10
MCH-P-000096,SKU-4E43E517,womens_apparel,own_shopify_store,854.21,666.57,4.4,2024-04-03
MCH-P-000097,SKU-8879204B,sports_fitness,pepperfry,33551.45,17247.22,2.8,2024-11-24
MCH-P-000098,SKU-CE4470B2,mens_apparel,shopclues,4184.39,3183.55,4.6,2025-04-04
MCH-P-000099,SKU-776E8211,watches_eyewear,amazon,36810.4,20892.28,4.3,2026-03-11
MCH-P-000100,SKU-DFF4DE53,kids_apparel,flipkart,3924.76,2802.44,4.0,2025-05-07
MCH-P-000101,SKU-E8E55229,mobiles_tablets,firstcry,132969.3,99507.89,2.7,2026-06-18
MCH-P-000102,SKU-73C7F91E,small_kitchen_appliances,pepperfry,4995.75,4211.46,4.5,2025-02-24
MCH-P-000103,SKU-7567F6B5,kids_apparel,tata_cliq,2374.74,1308.0,3.3,2025-01-17
MCH-P-000104,SKU-6A585D9C,automotive_accessories,shopclues,14513.31,10811.28,4.9,2025-12-12
MCH-P-000105,SKU-3F0D7DDA,small_kitchen_appliances,walmart_marketplace,12954.15,8308.95,2.8,2026-03-17
MCH-P-000106,SKU-CFACD64F,skincare,nykaa,756.2,451.7,3.6,2026-05-04
MCH-P-000107,SKU-E39FF00D,toys_games,ajio,5131.47,3305.35,3.0,2025-02-08
MCH-P-000108,SKU-1DECBDA1,jewellery,amazon,58912.55,35993.47,3.5,2024-05-15
MCH-P-000109,SKU-FB244158,makeup_cosmetics,shopsy,979.04,685.68,4.3,2025-06-07
MCH-P-000110,SKU-EBD392DD,personal_care,nykaa,1637.12,1192.4,4.5,2025-02-03
MCH-P-000111,SKU-CD88ED57,innerwear_sleepwear,croma,1163.26,836.51,3.8,2025-04-03
MCH-P-000112,SKU-B3B79968,winterwear,walmart_marketplace,6761.74,5478.64,3.8,2026-04-04
MCH-P-000113,SKU-E56DD809,garden_outdoor,croma,12027.88,7337.7,3.7,2025-04-28
MCH-P-000114,SKU-131A8E9C,sports_fitness,ebay,4810.21,2526.42,2.6,2024-06-29
MCH-P-000115,SKU-ABC8A864,audio_headphones,1mg,13564.3,7603.44,4.4,2025-11-22
MCH-P-000116,SKU-DBBC513D,footwear,etsy,569.34,449.5,3.4,2024-11-17
MCH-P-000117,SKU-67384667,home_improvement_tools,urban_ladder,12056.32,6533.14,4.9,2026-03-13
MCH-P-000118,SKU-081192CD,winterwear,nykaa,8961.44,6902.43,4.2,2025-07-20
MCH-P-000119,SKU-C8265A39,large_appliances,shopsy,51438.27,37257.31,3.0,2024-11-18
MCH-P-000120,SKU-1F13DAA7,mobiles_tablets,ajio,80187.51,44689.54,4.6,2024-11-12
MCH-P-000121,SKU-4104F50A,musical_instruments,purplle,33579.74,26651.38,2.9,2024-03-16
MCH-P-000122,SKU-28B19F4E,industrial_scientific,meesho,44989.54,28676.35,4.4,2025-10-12
MCH-P-000123,SKU-18B41A43,laptops_computers,nykaa,125291.83,69253.25,4.8,2025-07-12
MCH-P-000124,SKU-A0117DD7,computer_accessories,jiomart,859.85,500.0,3.7,2026-02-07
MCH-P-000125,SKU-62FE7B23,industrial_scientific,jiomart,49480.5,26196.97,4.6,2025-03-01
MCH-P-000126,SKU-A719A9BF,womens_apparel,indiamart,6484.25,4715.36,4.4,2025-08-05
MCH-P-000127,SKU-C741EFB2,furniture,etsy,29961.43,20638.47,4.6,2026-06-04
MCH-P-000128,SKU-67E7974C,innerwear_sleepwear,etsy,1283.53,987.06,3.8,2024-12-02
MCH-P-000129,SKU-41F9ADF4,watches_eyewear,limeroad,29479.65,23512.85,3.7,2024-05-24
MCH-P-000130,SKU-B6E21D8B,innerwear_sleepwear,limeroad,1398.35,750.55,4.8,2026-07-05
MCH-P-000131,SKU-D96CBD1A,home_decor,nykaa,2785.15,1722.89,2.6,2025-01-22
MCH-P-000132,SKU-AFE29FDF,computer_accessories,nykaa,13926.34,9147.83,4.0,2025-07-24
MCH-P-000133,SKU-8E2B6FA1,personal_care,croma,730.43,544.95,5.0,2026-07-18
MCH-P-000134,SKU-476B5E49,home_decor,netmeds,9361.93,6245.6,4.8,2024-03-20
MCH-P-000135,SKU-922D5EE0,haircare,pepperfry,2893.28,2238.54,2.8,2024-11-04
MCH-P-000136,SKU-6CD7E3B1,books_media,croma,2223.73,1454.39,4.1,2025-01-05
MCH-P-000137,SKU-203031E9,jewellery,ebay,98460.88,59163.16,4.4,2024-04-02
MCH-P-000138,SKU-0B2CB87A,garden_outdoor,flipkart,5294.77,2876.94,4.4,2025-11-07
MCH-P-000139,SKU-F5932FC5,groceries_gourmet,nykaa,2957.33,1959.94,3.5,2025-05-24
MCH-P-000140,SKU-A07E646D,industrial_scientific,croma,79429.9,42072.97,4.5,2026-01-12
MCH-P-000141,SKU-0FCE3FF8,kids_apparel,flipkart,3325.64,1705.85,2.6,2024-05-11
MCH-P-000142,SKU-27ABDFA7,winterwear,1mg,1428.01,1051.53,4.4,2024-09-29
MCH-P-000143,SKU-424FE491,mobiles_tablets,limeroad,111696.17,87157.09,3.1,2024-07-02
