product_id,event_id,timestamp,barcode_match,quantity_expected,quantity_scanned,image_path,product_match_score,damage_probability,anomaly_score,decision,operator_id
MCH-P-000001,EV-EC78B2A048,2026-05-08T02:33:24.311013,True,6,6,mock_images/MCH-P-000001_84d559.jpg,1.0,0.039,0.093,PASS,OP-001
MCH-P-000001,EV-74CB622FF8,2026-08-20T02:58:24.311412,True,3,3,mock_images/MCH-P-000001_0d3d16.jpg,0.959,0.079,0.068,PASS,OP-003
MCH-P-000001,EV-448CF24899,2026-06-05T17:29:24.311579,False,1,1,mock_images/MCH-P-000001_eb6069.jpg,0.973,0.107,0.099,FAIL,OP-007
MCH-P-000002,EV-03F244A176,2026-07-22T07:14:24.312023,True,3,3,mock_images/MCH-P-000002_bfb24f.jpg,0.865,0.0,0.048,PASS,OP-010
MCH-P-000002,EV-A7442B8B52,2026-08-07T21:24:24.312205,True,8,8,mock_images/MCH-P-000002_92e918.jpg,0.971,0.031,0.017,PASS,OP-005
MCH-P-000002,EV-F2B3F89AF5,2026-04-27T20:25:24.312448,True,9,9,mock_images/MCH-P-000002_060752.jpg,0.946,0.0,0.065,PASS,OP-006
MCH-P-000003,EV-9A4B3416EF,2026-04-13T10:22:24.312811,True,3,3,mock_images/MCH-P-000003_e9badf.jpg,0.762,0.129,0.045,PASS,OP-007
MCH-P-000003,EV-FCC41D395A,2026-07-25T18:59:24.313148,True,7,7,mock_images/MCH-P-000003_170629.jpg,0.982,0.036,0.069,PASS,OP-005
MCH-P-000003,EV-04944B716B,2026-07-17T17:58:24.313501,True,4,4,mock_images/MCH-P-000003_e62a22.jpg,0.922,0.099,0.118,PASS,OP-005
MCH-P-000004,EV-33FEEDDD5B,2026-08-13T00:28:24.314253,True,7,7,mock_images/MCH-P-000004_b94cd9.jpg,0.993,0.027,0.0,PASS,OP-002
MCH-P-000004,EV-2E31E6EB20,2026-06-21T00:31:24.314545,True,4,4,mock_images/MCH-P-000004_5c6a11.jpg,0.863,0.076,0.031,PASS,OP-002
